Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1961","1961","t","957","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1962","1962","t","11220","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1963","1963","t","18920","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1964","1964","t","14000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1965","1965","t","17000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1966","1966","t","18200","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1967","1967","t","20500","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1968","1968","t","22000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1969","1969","t","31800","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1970","1970","t","26800","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1971","1971","t","59000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1972","1972","t","78000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1973","1973","t","272000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1974","1974","t","496000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1975","1975","t","485000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1976","1976","t","695000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1977","1977","t","1400000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1978","1978","t","2500000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1979","1979","t","3700000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1980","1980","t","3500000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1981","1981","t","3770000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1982","1982","t","4150000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1983","1983","t","4000000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1984","1984","t","7000000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1985","1985","t","6500000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1986","1986","t","7100000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1987","1987","t","6700000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1988","1988","t","9900000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1989","1989","t","6500000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1990","1990","t","10700000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1991","1991","t","10862000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1992","1992","t","11310000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0141","Soya beans","1993","1993","t","11045400","A","Official figure",""
